ID,Month,Year,Enrollment,Victims_Killed,Victims_Injured,Day_of_Week,During_Class,Time_Period,City,State,Density,School_Level,Location,Location_Type,Students_Killed,Staff_Killed,Students_Injured,Staff_Injured,Situation,Drive_By_,Gang_,Active_Shooter_,Preplanned_,Perpetrator_Race,Perpetrator_Affiliation,Perpetrator_Outcome,Accomplice_,Leakage,Legacy_Token,Prior_Police_Contact,Other_Weapons,Mental_Health_Concerns,Suicidal,Psychiatric_Medication,Prior_Hospitalization,Substance_Use,Trauma_History,Suspended__Expelled,School_Violence,Studied_Other_Shooters,Interest_in_Violence,Warning_Signs,Current_Stressors
122,3,2018,1209,1,0,Wednesday,No,After School,Birmingham,AL,Urban,High,Hallway,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Accident/Negligence,No,No evidence of,No evidence of,No evidence of,Black,Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
5,6,2001,959,1,0,Thursday,No,Not a School Day,Arlington,TX,Urban,High,Hallway,Inside School Building,No evidence of,No evidence of,No evidence of,No evidence of,Accident/Negligence,No,No evidence of,No evidence of,No evidence of,Unknown,Other,Not Charged,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
15,10,2003,597,1,1,Thursday,No,School Event,Washington,DC,Urban,High,Beside Building,Outside on School Property,Yes,No evidence of,Yes,No evidence of,Accident/Negligence,No,Yes,No evidence of,No evidence of,Black,Student,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,Yes
27,3,2005,1393,1,0,Thursday,No,Dismissal,Los Angeles,CA,Urban,High,Beside Building,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Accident/Negligence,Yes,Yes,No evidence of,No evidence of,Black,Former Student,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
67,10,2009,3661,1,3,Friday,No,Sport Event,Long Beach,CA,Urban,High,Football Field/Track,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Accident/Negligence,No,Yes,No evidence of,No evidence of,Black,Former Student,Fled & Later Apprehended,Yes,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
93,4,2014,706,1,0,Friday,No,School Event,Detroit,MI,Urban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Accident/Negligence,Yes,Yes,No evidence of,No evidence of,Black,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
136,9,2018,659,1,0,Wednesday,No,Dismissal,Providence,RI,Urban,High,Front of School,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Accident/Negligence,No,Yes,No evidence of,No evidence of,Latino,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,Yes
163,1,2020,3115,1,0,Tuesday,No,Dismissal,Bellaire,TX,Urban,High,Classroom,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Accident/Negligence,No,No evidence of,No evidence of,No evidence of,Unknown,Student,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
218,3,2022,2137,1,1,Tuesday,No,Dismissal,Yakima,WA,Urban,High,Parking Lot,Outside on School Property,Yes,No evidence of,Yes,No evidence of,Accident/Negligence,Yes,Yes,No evidence of,No evidence of,Unknown,Family Member,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,Yes,No evidence of,Yes,No evidence of,No evidence of
233,9,2022,710,1,4,Tuesday,No,Sport Event,Philadelphia,PA,Urban,High,Football Field/Track,Outside on School Property,No evidence of,No evidence of,Yes,No evidence of,Accident/Negligence,No,Unknown,No evidence of,No evidence of,Black,Unknown,Fled & Later Apprehended,Yes,No evidence of,No evidence of,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
256,5,2023,1268,1,1,Sunday,No,Night,Atlanta,GA,Urban,High,Parking Lot,Outside on School Property,Yes,No evidence of,Unknown,No evidence of,Accident/Negligence,No,No evidence of,No evidence of,No evidence of,Black,Unknown,Fled & Later Apprehended,Yes,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
268,9,2023,1491,1,3,Friday,No,Sport Event,Greensboro,NC,Urban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,Yes,Unknown,Accident/Negligence,Unknown,Yes,No evidence of,No evidence of,Black,Unknown,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
