ID,Month,Year,Enrollment,Victims_Killed,Victims_Injured,Day_of_Week,During_Class,Time_Period,City,State,Density,School_Level,Location,Location_Type,Students_Killed,Staff_Killed,Students_Injured,Staff_Injured,Situation,Drive_By_,Gang_,Active_Shooter_,Preplanned_,Perpetrator_Race,Perpetrator_Affiliation,Perpetrator_Outcome,Accomplice_,Leakage,Legacy_Token,Prior_Police_Contact,Other_Weapons,Mental_Health_Concerns,Suicidal,Psychiatric_Medication,Prior_Hospitalization,Substance_Use,Trauma_History,Suspended__Expelled,School_Violence,Studied_Other_Shooters,Interest_in_Violence,Warning_Signs,Current_Stressors
143,2,2019,499,1,0,Tuesday,No,Sport Event,Kansas City,MO,Urban,High,Beside Building,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Black,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
162,1,2020,1146,1,1,Saturday,No,Sport Event,Dallas,TX,Urban,High,Gym,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,Unknown,No evidence of,No evidence of,Unknown,Unknown,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
194,6,2021,1135,1,0,Monday,No,Sport Event,Fort Worth,TX,Urban,High,Parking Lot,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,Unknown,No evidence of,Unknown,Unknown,Unknown,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
N62,8,2021,769,1,0,Wednesday,No,Dismissal,Washington,DC,Urban,High,Front of School,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Unknown,Student,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
202,9,2021,1524,1,0,Wednesday,Yes,Lunch,Winston-Salem,NC,Urban,High,Hallway,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,Unknown,No evidence of,Unknown,Black,Student,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,Yes,Yes
N69,6,2022,534,1,0,Thursday,No,Night,Akron,OH,Urban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Black,Unknown,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
235,9,2022,763,1,3,Friday,No,Sport Event,Tulsa,OK,Urban,High,Football Field/Track,Outside on School Property,Yes,No evidence of,Unknown,Unknown,Escalation of a Dispute,No,Unknown,No evidence of,Unknown,Black,Unknown,Fled & Later Apprehended,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
237,10,2022,2040,1,0,Friday,No,Sport Event,Sacramento,CA,Urban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,Unknown,No evidence of,Unknown,Unknown,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
240,11,2022,1454,1,0,Tuesday,Yes,Morning Classes,Seattle,WA,Urban,High,Hallway,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,Unknown,No evidence of,Yes,Unknown,Student,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,Yes
N72,3,2023,1572,1,1,Wednesday,Yes,Morning Classes,Santa Rosa,CA,Urban,High,Classroom,Inside School Building,Yes,No evidence of,Yes,No evidence of,Escalation of a Dispute,N/A,No evidence of,N/A,No evidence of,White,Student,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of
274,11,2023,390,1,0,Friday,Yes,Afternoon Classes,Indianapolis,IN,Urban,High,Parking Lot,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,Unknown,No evidence of,Unknown,Unknown,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
N6,6,2002,889,1,0,Monday,Yes,Morning Classes,Bluffton,SC,Rural,Middle,Restroom,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Other,No,Yes,No evidence of,No evidence of,Unknown,Student,Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of
N28,5,2006,1370,1,0,Thursday,Yes,Morning Classes,Conway,SC,Rural,Middle,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Domestic,No,No evidence of,No evidence of,Yes,Black,Other,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,Yes,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
112,1,2017,1014,1,0,Friday,No,Evening,Naperville,IL,Suburban,Middle,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,Unknown,No evidence of,No evidence of,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
176,10,2020,603,2,0,Thursday,No,Night,Hialeah,FL,Suburban,Middle,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
182,2,2021,683,1,0,Friday,Yes,Afternoon Classes,Rockford,IL,Suburban,Middle,Front of School,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
68,2,2010,1001,1,0,Friday,Yes,Afternoon Classes,Madison,AL,Suburban,Middle,Hallway,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Unknown,No,Yes,No evidence of,No evidence of,Middle Eastern,Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
102,2,2015,878,1,0,Sunday,No,Not a School Day,Merced,CA,Suburban,Middle,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Unknown,No evidence of,Unknown,Unknown,Unknown,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
39,7,2006,483,1,0,Monday,No,Before School,Tampa,FL,Suburban,Middle,Parking Lot,Outside on School Property,No evidence of,Yes,No evidence of,No evidence of,Domestic,No,No evidence of,No evidence of,No evidence of,Latino,Family Member,Suicide,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
191,4,2021,1077,2,0,Tuesday,Yes,Morning Classes,Smyrna,DE,Suburban,Middle,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Domestic,No,No evidence of,No evidence of,Unknown,Black,Parent,Suicide,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,Yes,Yes
89,10,2013,673,1,2,Monday,No,Before School,Sparks,NV,Suburban,Middle,Beside Building,Outside on School Property,Yes,Yes,Yes,No evidence of,Retaliation,No,No evidence of,Yes,Yes,Latino,Student,Suicide,No evidence of,No evidence of,Yes,Yes,No evidence of,Yes,Yes,Yes,No evidence of,No evidence of,Yes,No evidence of,No evidence of,Yes,Yes,Yes,Yes
52,12,2007,737,1,0,Friday,No,After School,Union City,CA,Suburban,Middle,Outside on School Property,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Retaliation,No,Yes,No evidence of,No evidence of,Latino,None,Fled & Later Apprehended,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
219,3,2022,745,1,0,Thursday,Yes,Afternoon Classes,Greenville,SC,Suburban,Middle,Hallway,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Retaliation,No,Unknown,No evidence of,Yes,Unknown,Student,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,Yes,No evidence of,No evidence of,Yes,Yes
130,7,2018,874,1,0,Thursday,No,Evening,Yakima,WA,Suburban,Middle,Beside Building,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Drug Related,No,Unknown,No evidence of,Unknown,Unknown,Unknown,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
142,1,2019,796,1,0,Friday,Yes,Morning Classes,Eugene,OR,Suburban,Middle,Front of School,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Self-Defense,No,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Not Charged,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
216,2,2022,525,1,0,Tuesday,No,Dismissal,Pueblo West,CO,Suburban,Middle,Beside Building,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Self-Defense,No,No evidence of,No evidence of,No evidence of,White,None,Not Charged,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
152,9,2019,558,1,0,Friday,No,Sport Event,Jeannette,PA,Suburban,Middle,Football Field/Track,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Black,Family Member,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
N61,9,2019,813,1,0,Monday,Yes,Lunch,Moreno Valley,CA,Suburban,Middle,Front of School,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Unknown,Student,Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
55,8,2008,654,1,0,Thursday,No,Evening,Federal Way,WA,Suburban,Middle,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,Yes,No evidence of,No evidence of,Latino,Family Member,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
129,7,2018,769,1,0,Wednesday,No,Not a School Day,Maple Heights,OH,Suburban,Middle,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Black,Student,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
161,12,2019,663,1,0,Saturday,No,Evening,East St. Louis,IL,Suburban,Middle,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,Yes,Black,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
N52,3,2015,741,1,0,Thursday,No,After School,Long Beach,CA,Urban,Middle,Outside on School Property,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Robbery,No,No evidence of,No evidence of,Yes,Latino,None,Escaped,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
N4,11,2001,709,1,0,Saturday,No,Not a School Day,Everett,WA,Urban,Middle,Football Field/Track,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Robbery,No,No evidence of,No evidence of,Yes,Unknown,None,Fled & Later Apprehended,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
106,10,2015,1081,1,0,Saturday,No,Night,San Antonio,TX,Urban,Middle,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Robbery,Yes,Unknown,No evidence of,Yes,Latino,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
116,5,2017,768,1,0,Wednesday,No,Evening,Omaha,NE,Urban,Middle,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Robbery,No,Unknown,No evidence of,Yes,Black,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
48,11,2006,261,1,0,Wednesday,No,Evening,Atlanta,GA,Urban,Middle,Front of School,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Unknown,No,Unknown,No evidence of,Unknown,Unknown,None,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
178,11,2020,41,1,0,Thursday,No,Evening,Harrisburg,PA,Urban,Middle,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,No,Unknown,No evidence of,Unknown,Black,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
N14,1,2004,600,1,0,Tuesday,No,Dismissal,Dallas,TX,Urban,Middle,Outside on School Property,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Retaliation,No,No evidence of,No evidence of,Yes,Latino,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
132,8,2018,1066,1,0,Thursday,No,Sport Event,Millville,NJ,Urban,Middle,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Retaliation,No,Unknown,No evidence of,Yes,Black,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
N51,1,2015,1445,1,0,Friday,No,After School,East Los Angeles,CA,Urban,Middle,Outside on School Property,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Gang related,No,Yes,No evidence of,Yes,Latino,Student,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
34,11,2005,744,1,0,Wednesday,Yes,Afternoon Classes,San Antonio,TX,Urban,Middle,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Self-Defense,No,No evidence of,No evidence of,No evidence of,Unknown,None,Not Charged,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
N18,4,2004,431,1,0,Friday,No,Evening,Tampa,FL,Urban,Middle,Classroom,Inside School Building,No evidence of,Yes,No evidence of,No evidence of,Sexual Assault,No,No evidence of,No evidence of,Yes,Black,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of
N15,2,2004,1425,1,0,Tuesday,Yes,Evening,Palmetto Bay,FL,Urban,Middle,Restroom,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,Yes,Unknown,Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,Yes,Yes,No evidence of
N49,6,2014,800,1,0,Wednesday,No,Dismissal,Bronx,NY,Urban,Middle,Front of School,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Latino,Former Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,Yes,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
199,8,2021,392,1,0,Friday,Yes,Lunch,Albuquerque,NM,Urban,Middle,Playground,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Latino,Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of
N66,4,2022,657,1,0,Tuesday,Yes,Morning Classes,Kansas City,MO,Urban,Middle,Restroom,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,N/A,No evidence of,N/A,No evidence of,Unknown,Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of
N35,11,2008,671,1,0,Friday,Yes,Afternoon Classes,Baltimore,MD,Urban,Middle,Stairwell,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,Yes,Black,Student,Surrendered,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
40,8,2006,484,1,0,Thursday,No,Not a School Day,Austin,TX,Urban,Middle,Outside on School Property,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,Yes,No evidence of,No evidence of,Latino,None,Fled & Later Apprehended,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
